xorazmcha;adabiycha;turkumi;xorazmcha;adabiycha;ko`plik/birlik;egalik/shaxs-son;zamon;kelishik
Aat;Ahd;NOUN;Aatida;Ahdida;birlik;i;;da
Abdal;Devona;ADJ;Abdallorimizi;Devonalarimizni;ko`plik;imiz;;ni
Abjo?sh;Qora mayiz;NOUN;Abjo?shina;Qora mayiziga;birlik;i;;ga
Avrat;Avrat;NOUN;Avratingi;Avratingni;birlik;ing;;ni
Adan;pasti;ADV;Adanina;pastiga;birlik;i;;ga
Adil;Odil;ADJ;Adillorini;Odillarini;ko`plik;i;;ni
Ajv;Hajv;NOUN;Ajvidan;Hajvidan;birlik;i;;dan
Ajr;Mukofot;NOUN;Ajrimi;Mukofotimni;birlik;im;;ni
Oynak;Ko?zoynak;NOUN;Oynaklarimizdo;Ko?zoynaklarimizda;ko`plik;imiz;;da
Ayri;Ayrim;;;;;;;
Ak;Ohak;;;;;;;
Akashak;Shol;;;;;;;
Akin;Ekinzor;;;;;;;
Alam;Qayg?u;;;;;;;
Almoyish(armoyish);Muomala;;;;;;;
Alpataqda-elpatak;Chaqqonlik ;;;;;;;
Alpoz, alfoz; Monand;;;;;;;
Altaxta;Taxta;;;;;;;
Alg?araz;Maqsad;;;;;;;
Am;Em;;;;;;;
Ambiyo;Payg?ambarlar;;;;;;;
Amdolli;Yaxshi;;;;;;;
Ana; Huv;;;;;;;
Ang;Ma?qullash;;;;;;;
Angak;Iyak;;;;;;;
Angurak;Mayda uzum;;;;;;;
Andik;Qitiq;;;;;;;
Andimoq;Ayg?oqchilik ;;;;;;;
Andratma;Hovlittirma;;;;;;;
Andiramoq;Yanglishmoq;;;;;;;
Andratob;Ajoyib;;;;;;;
Ankarak;Post;;;;;;;
Annob iyda;Jiyda;;;;;;;
Anqirmoq;Xangramoq;;;;;;;
Apanak;Temir;;;;;;;
Apsiz;Uquvsiz;;;;;;;
Aptoda;Ko?rimsiz;;;;;;;
Aravlab;Bedor;;;;;;;
Ardona;Xayf;;;;;;;
Archinbar ishto?p;Gulli mato;;;;;;;
Asvak;Suvni boylash;;;;;;;
Asrmak;o`zidan ketish;;;;;;;
Axta;Bichilgan;;;;;;;
Axtachi;otboqar;;;;;;;
Axtiq;Nevara;;;;;;;
Adik;Etik;;;;;;;
Alak;Elak;;;;;;;
Al;Qo‘l;;;;;;;
Arik;O‘rik;;;;;;;
Akkal;Olib kel;;;;;;;
Ana;Buvi;;;;;;;
Apka;Opa;;;;;;;
Aka;Dada;;;;;;;
Anjir;Anjir;;;;;;;
Ajina;Jin;;;;;;;
Arvoh;Arvoh;;;;;;;
Angsa;Qarz;;;;;;;
Arkak;Erkak;;;;;;;
Arka;Erka;;;;;;;
Aldi;Oldi;;;;;;;
Aldin;Oldin;;;;;;;
Amizish;Emizmoq;;;;;;;
Aji-buji;G?alati;;;;;;;
Ak;Ohak;;;;;;;
Akin-dikin;Ekin-tikin;;;;;;;
Avashi;Xunuk;;;;;;;
Asirak;Maqtanchoq;;;;;;;
Aldikcha;Peshband;;;;;;;
Arinjak;Erinchoq;;;;;;;
Apsiz;Epsiz;;;;;;;
Ar;Er;;;;;;;
Atdi;Qildi;;;;;;;
Armak;Ermak;;;;;;;
Appardi;Olib berdi;;;;;;;
Atari;Bor-yo?g?i;;;;;;;
Akkit;Olib ket;;;;;;;
Aplama;sifatsiz;;;;;;;
Andik;Hadik;;;;;;;
Bardi;Berdi;;;;;;;
Badlanmoq;Norozilik;;;;;;;
Bol;Asal;;;;;;;
Bormoq;Barmoq;;;;;;;
Bosmo;Bosma;;;;;;;
Bar;Ber;;;;;;;
Bajik;Qo?zichoq;;;;;;;
Bidirdosh;Bidirlamoq;;;;;;;
Boqlojon;Baqlajon;;;;;;;
Bolo;Bola;;;;;;;
Bizoqvoshchi;Tartibsiz;;;;;;;
Bilet;Chipta;;;;;;;
Biloshiq;Iflos;;;;;;;
Bilomiq;Atala;;;;;;;
Blomo;Aralashtirma;;;;;;;
Botib yotibdi;Juda iflos;;;;;;;
Bashara;Yuz;;;;;;;
Birch;Bulg?or qalmpir;;;;;;;
Baqraydi;Qaradi;;;;;;;
Bizara;bizga;;;;;;;
Bika;Xonim;;;;;;;
Barak;Chuchvara;;;;;;;
Biyi;Kelin oyi;;;;;;;
Boldiz;Qayinsingil;;;;;;;
Burunch;Guruch;;;;;;;
Baqlashka;Pilastik idish;;;;;;;
Biton;Beton;;;;;;;
Bechoro;Bechora;;;;;;;
Boshlodi;Boshladi;;;;;;;
Boy-bo?y;Voy-vo?y;;;;;;;
Bera gal;Buyoqqa kel;;;;;;;
Bijg?ibdi;Achibdi;;;;;;;
Bichqi;Arra;;;;;;;
Bordoq;Juda iflos;;;;;;;
Bet;Varaq;;;;;;;
Bultur;O?tgan yil;;;;;;;
Bi yil;Bu yil;;;;;;;
Bo?ldi;Tugadi;;;;;;;
Buryun;Indinga;;;;;;;
Bint;Doka;;;;;;;
Boyoqi;Boyagi;;;;;;;
Bo?shachi;Bekorchi;;;;;;;
Bo?shang;Yuvosh;;;;;;;
Bosinqiradi;Alaxsiradi;;;;;;;
Bizmo;Buzma;;;;;;;
Bitir;Tugat;;;;;;;
Buyun;Bugun;;;;;;;
Bo?lor;Bo?lar;;;;;;;
Biz;Bigiz;;;;;;;
Boliq;Baliq;;;;;;;
Boshlo;Boshla;;;;;;;
Buzlodi;Muzladi;;;;;;;
Boshshinda;Boshida;;;;;;;
Bo?yonoq;Pardoz anjomlari;;;;;;;
Bangngi;Choyxo?r;;;;;;;
Boxtiqora;Baxtiqaro;;;;;;;
Bira;Burga;;;;;;;
Bocho?q;Idish;;;;;;;
Bechakki;Be?mani;;;;;;;
BNOUNorya;Quvvatlagich;;;;;;;
Boqoloq;Semiz;;;;;;;
Birt;Mo?ylov;;;;;;;
Buz;Muz;;;;;;;
Boqcha;Bog?cha;;;;;;;
Bakli;Yopiq;;;;;;;
Balli;Belgili ;;;;;;;
Bang;Nash?a;;;;;;;
Basir;Ko?rish;;;;;;;
Batar;Battar;;;;;;;
Baqaloq; Chelakcha;;;;;;;
Baqar;Boqar;;;;;;;
Bemaal;Bevaqt ;;;;;;;
Beshov;Beshta;;;;;;;
Bixulli;Butunlay;;;;;;;
Biloziq;Bilakuzuk;;;;;;;
Bismil;Yara;;;;;;;
Gijimoq;Qichimoq;;;;;;;
Gubirnat;Mansabdor;;;;;;;
Guvari;Mol terisi;;;;;;;
Guzar;Kechik;;;;;;;
Gulqand;Murabbo;;;;;;;
Gunorta;Peshin;;;;;;;
Guplama, gupurdi;Maqtanchoq;;;;;;;
Guppi;Fufayka;;;;;;;
Go?mma;Varaqi;;;;;;;
Go?yanda;Ashulachi;;;;;;;
Dajjol;Mahluq;;;;;;;
Dishon;Tashqari;;;;;;;
Dish;Tish;;;;;;;
Diri;Tirik;;;;;;;
Darpanmadi;Qo?zg?almadi;;;;;;;
Din;Gapirma;;;;;;;
Duz;Tuz;;;;;;;
Dush;Tush;;;;;;;
Do?shik;Teshik;;;;;;;
Diz;Tizza;;;;;;;
Doyi;Tog?a;;;;;;;
Domizliq;Uyutqi;;;;;;;
Dosh;Tosh;;;;;;;
Damir;Temir;;;;;;;
Do?shak;To?shak;;;;;;;
Do?vcha;Dovuchcha;;;;;;;
Domoq;Tomoq;;;;;;;
Domor;Tomir;;;;;;;
Domlo;Domla;;;;;;;
Do?g?ildi;Tug?ildi;;;;;;;
Dim;Juda;;;;;;;
Dapa;Tepa;;;;;;;
Dik;Tik;;;;;;;
Davarak;Yon atrof;;;;;;;
Deri;Teri;;;;;;;
Dorvozo;Darvoza;;;;;;;
Dar;Ter;;;;;;;
Doroq;Taroq;;;;;;;
Deyma;Tegma;;;;;;;
Duyma;Tugma;;;;;;;
Dor;Tor;;;;;;;
Do?yib;To?yib;;;;;;;
Durvadi;Turgan edi;;;;;;;
Do?ngngiz;To?ng?iz;;;;;;;
Dobbi;Semiz;;;;;;;
Dirnoq;Tirnoq;;;;;;;
Dirmalaviq;Haskash;;;;;;;
Do?ramoq;To?g?ramoq;;;;;;;
Diqilinch;Tiqilinch;;;;;;;
Durdi;Turdi;;;;;;;
Dong?illomo;Hashamatli;;;;;;;
Do?ngmoq;SovqNOUNmoq;;;;;;;
Dabdi;Debdi;;;;;;;
Dapdi;Tepti;;;;;;;
Do?ldir;To?ldir;;;;;;;
Dong;Tong;;;;;;;
Dali;Ko?ngilchan;;;;;;;
Damir;Temir;;;;;;;
Daliz;Dahliz;;;;;;;
Dana;Don;;;;;;;
Dupirdi;Sho?xlik;;;;;;;
Dalanib;Asabiylashib;;;;;;;
Darro?v;Tez;;;;;;;
Dingon;Jilli;;;;;;;
Dinimsiz;Tinimsiz;;;;;;;
Dars;Mol tezzagi;;;;;;;
Dak;Tek;;;;;;;
Daler;Mard;;;;;;;
Dali;Jinni;;;;;;;
Dallik;Terlik;;;;;;;
Dam;Nafas;;;;;;;
Danjik;To?polonchi;;;;;;;
Dapa;Tepa;;;;;;;
Dar;Ter;;;;;;;
Darak;Terak ;;;;;;;
Darpanma;Qo?zg?alma;;;;;;;
Deydi,tagdi;Tegdi;;;;;;;
Diz;Tizza;;;;;;;
Diyir;Ko‘za;;;;;;;
Diyirjak, digirgak;G‘ildirak;;;;;;;
Diklay;Tikka, butunlay;;;;;;;
Dim;Juda ;;;;;;;
Dingisiz;Tinimsiz;;;;;;;
Dindi;Tinchlandi;;;;;;;
Dirdin;Ozgina;;;;;;;
Dindirmoq;Tinchitmoq;;;;;;;
Dirilay;"Tiriklay
";;;;;;;
Disqa;Kirlangan;;;;;;;
Dig‘a;"Jig‘a
";;;;;;;
Do‘bbi;Besunaqay;;;;;;;
Dov;Omad;;;;;;;
Doyirdi;G‘avg‘o;;;;;;;
Doymoq;Sirg‘anmoq;;;;;;;
Domor;Qon tomiri;;;;;;;
Domoq;Tomoq, ;;;;;;;
Dorimoq;Yo‘liqmoq;;;;;;;
Dosqor;Chumchuq;;;;;;;
Dog‘;Tog‘;;;;;;;
Dog‘uli;Ayyor;;;;;;;
Duvoq;Qopqoq;;;;;;;
Yeyma;Ko‘rpa;;;;;;;
Englik;Qo?lqob;;;;;;;
Em;Yem;;;;;;;
yirik;Boshqorong‘i;;;;;;;
Gapla;Gapir;;;;;;;
Galustuq;Bo?yinbog?;;;;;;;
Gizlash;Berkitish;;;;;;;
Gizlanmajak;Berkinmachoq;;;;;;;
Gurring;Suhbat;;;;;;;
Gama;Kelma;;;;;;;
Gama;Kema;;;;;;;
Go?rash;Kurash;;;;;;;
Gakirmoq;Kekirmoq;;;;;;;
Girdi;Kirdi;;;;;;;
Getsanga;Nari ket;;;;;;;
Guchli;Kuchli;;;;;;;
Guch;Kuch;;;;;;;
Go?ydirgi;Kuydirgi;;;;;;;
Go?ydi;Kuydi;;;;;;;
Guya;Kapalak qurti;;;;;;;
Gamirmoq;Kemirmoq;;;;;;;
Guppi;Qaling chopon;;;;;;;
Go?shanmoq;Kavshanmoq;;;;;;;
Grip;Tumov;;;;;;;
Gechirish;Kechirish;;;;;;;
Gechish;Kechmoq;;;;;;;
Galishtirish;Kelishtirmoq;;;;;;;
Gazib;Sayohat qilib;;;;;;;
Gazik;Navbat;;;;;;;
Garishib;Kerishib;;;;;;;
Galish;Kelishmoq;;;;;;;
Go?sh;Go?sht;;;;;;;
Garil;Keril;;;;;;;
Go?k;Ko?k;;;;;;;
Gecha;Kecha;;;;;;;
Gunduz;Kunduz;;;;;;;
Gal;Kel;;;;;;;
Go?r;Ko?r;;;;;;;
Getma;Ketma;;;;;;;
Go?kar;Ko?kar;;;;;;;
Gechchi;Echki;;;;;;;
Garang;Kar;;;;;;;
Go?z;Ko?z;;;;;;;
Gurvak;Qovun ;;;;;;;
Go?ynak;Ko?ynak;;;;;;;
Go?da;Gavda;;;;;;;
Giyov;Kiyov;;;;;;;
Giyim;Kiyim;;;;;;;
Galin;Kelin;;;;;;;
Get;Ket;;;;;;;
Gashir;Sabzi;;;;;;;
Go?rish;Ko?rish;;;;;;;
Yo‘bi;NOUN ;;;;;;;
Yo‘va;Panshaxa;;;;;;;
Yo‘von;Yo‘bon;;;;;;;
Do‘v;Dev;;;;;;;
Do‘lta;Baqaloq;;;;;;;
Do‘mbo ‘yin;Qaysar;;;;;;;
Do‘ng;Muzlagan;;;;;;;
Do‘nglik;Tepalik;;;;;;;
Dushay;Namat;;;;;;;
Eyma;Ko‘rpa;;;;;;;
Erilmoq;Erkalik qilmoq;;;;;;;
Etaj;Qavat;;;;;;;
Et;Go?sht;;;;;;;
Eshim;Qo?rqoq;;;;;;;
ElNOUN;Mahalla;;;;;;;
Etmak;Yetim;;;;;;;
Yovshan;Giyoh;;;;;;;
Yoyma;Yozg‘irma;;;;;;;
Yozg‘it;Taqdir;;;;;;;
Yolaza;Yelvizak;;;;;;;
Yolag ‘ay;Kelishuvchi;;;;;;;
Yolong;Doim;;;;;;;
Yom;Gul tuvak.;;;;;;;
Yonga;Haligina;;;;;;;
Yongaziq;Yon qoziqi;;;;;;;
Yongilmoq;Yanglishmoq ;;;;;;;
Yog?day;Imkoniyat ;;;;;;;
Yog?inni;Yelkasi;;;;;;;
Yog?ir;Yag?ir;;;;;;;
Yeli;Hali;;;;;;;
Ichon;Ichkari;;;;;;;
Ijjon;Qiyma;;;;;;;
Idilli;Durust;;;;;;;
Isop;Hisob;;;;;;;
Inqildap;Injiqlik qilib;;;;;;;
Isvant;Isiriq;;;;;;;
Issi;Issiq;;;;;;;
Indama;Gapirma;;;;;;;
Ishonmidovin                                                  ;Ishonmaydigan;;;;;;;
Ibi;Mana ;;;;;;;
Ilishma;Osilma;;;;;;;
Im-sim;Yashirin;;;;;;;
Ibiy;Attang;;;;;;;
Iring;Yiring;;;;;;;
Iymanib;Intilib;;;;;;;
Insop;Insof;;;;;;;
Ina;Mana ;;;;;;;
Ishton;Lozim;;;;;;;
Ilmak;Ilgak;;;;;;;
Inna;Igna;;;;;;;
Ilishtirik;Qizil do?lana;;;;;;;
Isirg?a;Sirg?a;;;;;;;
Inoshi;Manashu;;;;;;;
Jo?nqi;O?zidan ketgan;;;;;;;
JalNOUNoy;Buzuqi;;;;;;;
Janak;Tovuq to?shi suyagi ;;;;;;;
Jinka;Mijg?ov;;;;;;;
Jinnaqdin;Jinday;;;;;;;
Jinga;G?ing;;;;;;;
Jirjayish;Zaharhanda;;;;;;;
Jilli;Ahmoq;;;;;;;
Juja;Jo?ja;;;;;;;
Joy;YNOUNoq;;;;;;;
Jorlob;Baqirib;;;;;;;
Jo?g?;Cho?g?;;;;;;;
Jolli;Kuchli;;;;;;;
Jipiriq;O?ynoqi;;;;;;;
Juyan;Don mahsulNOUNi;;;;;;;
Jo?ra;Do?st;;;;;;;
Jirpi;Yengiltak;;;;;;;
Jo?rrop;Paypoq;;;;;;;
Jallapka;Nimcha;;;;;;;
Jempir;Qaling kiyim;;;;;;;
Jaket;Nimcha;;;;;;;
Zamcha;Handalak;;;;;;;
Zanaq;Dag?dag?a;;;;;;;
Zanggi;Narvon;;;;;;;
Zandi;Nasl-nasabi;;;;;;;
Zara;O?taka;;;;;;;
Zaqcha;Zog?;;;;;;;
Kaltikalos;Kaltakesak;;;;;;;
Kaltik, kalchik;Dudiq;;;;;;;
Kamis;Kam;;;;;;;
Karvich;G‘isht;;;;;;;
Karkallashmoq;Tortishmoq;;;;;;;
Kasov;Kasov;;;;;;;
Kashap, kashaf;Suyuq oyoq ayol;;;;;;;
Kinos;Olifta;;;;;;;
Kirpik;Kiprik;;;;;;;
Kojkort;Kichkina o‘roq;;;;;;;
Kosa;Piyola;;;;;;;
Kulta;Beda bo‘g‘i;;;;;;;
Karchka;Kartoshka;;;;;;;
Ko?ladi;Kovladi;;;;;;;
 Kalla;Bosh;;;;;;;
Kichchi;Kichik;;;;;;;
Kullash;Qizg?onish;;;;;;;
Kurra;HNOUNik;;;;;;;
Kep;Kayf;;;;;;;
Kul;Kukun;;;;;;;
Kaso?v;Kasov;;;;;;;
Kampit;Kanfet;;;;;;;
Kishmish;Mayiz;;;;;;;
 Kura;Sidir;;;;;;;
Kurmasichon;Yumronqoziq;;;;;;;
Kavak;Chuqur;;;;;;;
Kasal;Xasta;;;;;;;
Kapin;Kafan;;;;;;;
Kursi;Stul;;;;;;;
Kilit;Kalit;;;;;;;
Kasak;Kesak;;;;;;;
Koso;Piyola;;;;;;;
Kadi;Qovoq;;;;;;;
Ko?na;Eski;;;;;;;
Ko?vish;Kovush;;;;;;;
Labzina;Pista holva;;;;;;;
Lavand;Yalqo‘v;;;;;;;
Likkish;Nosoz ;;;;;;;
Loylamoq;Ishni buzmoq;;;;;;;
Lombirdi;Betayin;;;;;;;
Loppish;"Achchiq
";;;;;;;
Los;Xom ipak chiqindisi.;;;;;;;
Lastik;ADJsiz ipak kiyim;;;;;;;
LopNOUNka;Belkurak;;;;;;;
Layan;Tog?ora;;;;;;;
Lo?mat;Axmoq;;;;;;;
Lo?viya;Lovya;;;;;;;
Laylakoyoq;Uzunoyoq;;;;;;;
Lelinkalla;Bilimli;;;;;;;
Latta;Bo?sh;;;;;;;
Lopkoso;Kosa;;;;;;;
Lelinka;Chizg?ich;;;;;;;
Loppo;Kerak bo?lsa;;;;;;;
loppish;To‘la;;;;;;;
Mosliq;Iflos;;;;;;;
Men;Miya;;;;;;;
Mongloy;Peshona;;;;;;;
Mut;Tekin;;;;;;;
Memon;Mehmon;;;;;;;
Mita;Burga;;;;;;;
Molyarka;suvoq;;;;;;;
Moshin;Mashina;;;;;;;
Miltiq;To?pponcha;;;;;;;
Mijjing;Injiq;;;;;;;
